,site_name,session_date,site_url,sitemap_page_url,sitemap_page_frequency,sitemap_page_last_modified
47,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/armoires/,,2021-10-06
48,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/miroirs-standards-2/,,2021-10-06
49,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/ou-nous-trouver/,,2021-10-06
50,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/miroirs-lumineux-2/,,2021-10-06
51,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/fixations-accessoires/,,2021-11-17
52,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/broadway/,,2021-11-17
53,Pierre Pradel,2021-11-27T10:27:31.513726,https://mpglass.fr/,https://mpglass.fr/miroirs-decoratifs/,,2021-11-17
54,Pierre Pradel,2021-11-27T10:27:31.517765,https://mpglass.fr/,https://mpglass.fr/elementor-hf/footer-mpglass/,,2021-10-01
55,Pierre Pradel,2021-11-27T10:27:31.517765,https://mpglass.fr/,https://mpglass.fr/elementor-hf/header-mpglass/,,2021-10-01
56,Pierre Pradel,2021-11-27T10:27:31.518762,https://mpglass.fr/,https://mpglass.fr/page-blog/,,
57,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/,,2021-11-15
58,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/test-2/,,2020-12-30
59,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/page-d-exemple/,,2021-10-01
60,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/miroirs-adhesifs-2/,,2021-10-01
61,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/contact/,,2021-10-01
62,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/serenity/,,2021-10-01
63,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/connecticut/,,2021-10-01
64,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/produits/,,2021-10-04
65,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/miroirs-cosmetiques-2/,,2021-10-04
66,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/formulaire-catalogue/,,2021-10-05
67,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/entreprise/,,2021-10-05
68,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/spots-led/,,2021-10-06
69,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/armoires/,,2021-10-06
70,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/miroirs-standards-2/,,2021-10-06
71,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/ou-nous-trouver/,,2021-10-06
72,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/miroirs-lumineux-2/,,2021-10-06
73,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/fixations-accessoires/,,2021-11-17
74,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/broadway/,,2021-11-17
75,Pierre Pradel,2021-11-27T10:27:31.519759,https://mpglass.fr/,https://mpglass.fr/miroirs-decoratifs/,,2021-11-17
76,Pierre Pradel,2021-11-27T10:27:31.522700,https://mpglass.fr/,https://mpglass.fr/elementor-hf/footer-mpglass/,,2021-10-01
77,Pierre Pradel,2021-11-27T10:27:31.523698,https://mpglass.fr/,https://mpglass.fr/elementor-hf/header-mpglass/,,2021-10-01
78,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/,,2021-04-06
79,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/profesionales/,,2019-09-19
80,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/fr/produits/produits/,,2019-09-19
81,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/fr/notre-marche/,,2019-09-19
82,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/fr/engagement/,,2019-09-19
83,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/fr/contacter/,,2019-09-19
84,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/fr/qui-sommes-nous/,,2019-09-20
85,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/fr/xpertials/,,2019-09-20
86,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/en/products/options/,,2019-10-16
87,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/en/who-we-are/,,2019-10-16
88,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/en/our-market/,,2019-10-16
89,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/en/contact/,,2019-10-16
90,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/en/xpertials-led-bathroom-mirrors/,,2019-10-18
91,Xpertials,2021-11-27T10:27:43.845468,https://www.xpertials.com/,https://www.xpertials.com/en/commitment/,,2019-10-18
